Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,Cost_per_unit
Bagasse (Sugarcane),39.5,3.7,98.1,1.18,50.2,7,13.2956
Bioplastic (PLA),70,10,89.2,1.56,57.4,9,24.3972
Edible Seaweed Film,7.4,4.6,100,0.58,5.8,3,3.9044
Edible Seaweed Film,8.2,6.9,100,0.28,5.6,2,4.7748
Recycled Cardboard,15.6,7.1,99.4,0.81,88.5,3,6.995
Bamboo Fiber,54.4,7.2,99.7,1.03,47.1,6,18.7918
Mushroom Mycelium,19.8,4.6,100,0.31,100,4,7.382
Edible Seaweed Film,11.1,6.2,100,0.57,5.8,4,5.4924
Bagasse (Sugarcane),25,2.1,98.4,1.33,61.7,5,8.4726
Edible Seaweed Film,11.8,6.3,100,0.29,9.7,2,5.6686
Bagasse (Sugarcane),39,2.9,99.5,1.16,56,5,12.89
Recycled Cardboard,30,7.1,98.3,0.92,84.2,4,11.3456
Aluminum Foil,44.6,1.3,0,10.97,99.6,10,15.9648
Bagasse (Sugarcane),40,8.7,96,1.11,65.1,6,14.9018
Aluminum Foil,21.4,8.1,0,9.38,97.6,10,10.7308
Bioplastic (PLA),73.8,6,81.4,2.36,46.4,9,24.5192
Bagasse (Sugarcane),39,9.8,97.7,1.4,52.8,5,15.0144
Aluminum Foil,27.7,0.6,0,9.1,93.8,10,10.3224
Bagasse (Sugarcane),29.5,8.6,98.8,1.07,57,7,11.73
Aluminum Foil,39.8,3.1,0,8.34,95.4,10,14.5472
Edible Seaweed Film,5.5,9.2,100,0.31,3,2,4.666
Virgin Plastic (PP),76,3.2,2.4,5.41,20.9,10,25.0002
Aluminum Foil,35.8,2.9,0,11.74,99.6,10,13.9588
Virgin Plastic (PP),87.3,1.7,0.9,5.31,25,10,27.912
Recycled Cardboard,25,8.8,95.4,1.43,90.3,5,10.4454
Mushroom Mycelium,20.5,3.3,100,0.35,100,5,7.21
Aluminum Foil,43.3,2.5,0,9.83,93.3,10,15.7194
Bagasse (Sugarcane),26.3,9.8,95.1,1.06,61.9,6,11.1182
Bagasse (Sugarcane),27.7,6.2,99.9,1.36,67.5,6,10.507
Mushroom Mycelium,23,7.8,100,0.3,100,6,9.3
Mushroom Mycelium,14.3,2.3,100,0.23,100,6,5.026
Virgin Plastic (PP),62.5,1.1,3.5,5.87,26.1,10,20.4018
Virgin Plastic (PP),81.3,2.5,3.6,5.74,23.3,10,26.4414
Bagasse (Sugarcane),20.2,8,99,1.29,62.2,5,8.7936
Mushroom Mycelium,18.2,1.6,100,0.37,100,5,6.014
Recycled Cardboard,32.2,6.1,98.1,1.31,98.7,4,11.7546
Edible Seaweed Film,13.9,9.3,100,0.45,6.6,3,7.2368
Recycled Cardboard,27.3,9.2,91.5,1.25,92.7,4,11.2146
Bamboo Fiber,57.3,2.5,98.5,0.86,44.9,7,18.2222
Recycled Cardboard,21.2,9,93.7,1.03,89,4,9.288
Edible Seaweed Film,5.1,3.4,100,0.46,8.1,3,2.8258
Edible Seaweed Film,14.3,1.7,100,0.48,4.3,2,5.0874
Mushroom Mycelium,23.6,1.7,100,0.27,100,5,7.644
Recycled Cardboard,33.4,1.2,99.9,1.2,89.7,5,10.6406
Recycled Cardboard,25.3,4,93.9,1.22,89.8,3,9.0544
Aluminum Foil,36.9,2.9,0,9.6,95.8,10,13.8684
Virgin Plastic (PP),71.9,3.7,3.1,4.23,20.8,10,23.6844
Recycled Cardboard,15.9,3.2,97.5,1.46,90.6,5,6.0408
Bioplastic (PLA),62.6,6.1,86.3,2.04,59.3,9,21.0994
Bamboo Fiber,59.9,4.6,99.5,0.96,31.2,7,19.6796
Edible Seaweed Film,5.7,2.5,100,0.41,1.2,2,2.7396
Edible Seaweed Film,13.9,5.9,100,0.34,2.2,4,6.2036
Mushroom Mycelium,24.4,5.7,100,0.21,100,6,9.072
Aluminum Foil,29.2,3.9,0,11.64,95.9,10,12.2662
Bioplastic (PLA),70,5.6,93,1.51,45.3,9,23.0914
Virgin Plastic (PP),72.3,3.3,2.9,5.13,19.3,10,23.8674
Edible Seaweed Film,8,9.3,100,0.35,8.5,3,5.443
Recycled Cardboard,30.3,2.3,96.2,0.95,87,5,9.996
Bagasse (Sugarcane),31.5,3.6,97.4,1.35,60.1,7,10.8798
Edible Seaweed Film,11.8,2.8,100,0.5,3.9,2,4.6722
Recycled Cardboard,19.5,7,93.4,1.36,98.2,3,8.2256
Recycled Cardboard,16.2,8.6,96.1,1.11,94.3,4,7.6734
Recycled Cardboard,24,6,90.5,1.29,81.1,5,9.2958
Recycled Cardboard,29.3,3.6,95.3,1.33,83.7,5,10.1686
Recycled Cardboard,29.3,9.4,95,1.47,85,5,11.934
Edible Seaweed Film,9,4.5,100,0.57,7.5,2,4.349
Virgin Plastic (PP),87.1,5.4,1.3,4.72,23.3,10,28.8474
Mushroom Mycelium,18.9,1.8,100,0.21,100,4,6.252
Bamboo Fiber,51,8.5,99.1,0.74,38.1,7,18.1218
Mushroom Mycelium,18.8,2.2,100,0.39,100,6,6.378
Bagasse (Sugarcane),22.6,3.1,97.3,0.96,57.3,5,7.9874
Bioplastic (PLA),54.7,4.6,91.7,1.73,55,9,18.226
Mushroom Mycelium,21.2,4.2,100,0.16,100,4,7.652
Virgin Plastic (PP),69.4,5.7,4,5.06,29.5,10,23.683
Bamboo Fiber,45.7,1.2,99.2,0.55,47.3,7,14.2854
Bioplastic (PLA),67.1,4.6,85.9,1.9,53.5,8,21.983
Bamboo Fiber,50.5,9,96.9,0.66,46,8,18.09
Aluminum Foil,30.5,5.1,0,9.94,93.6,10,12.6808
Aluminum Foil,20.3,6.8,0,8.34,90,10,9.818
Virgin Plastic (PP),70.5,6.8,4.7,3.83,18.5,10,24.119
Aluminum Foil,37,5,0,8.86,92.2,10,14.3876
Recycled Cardboard,34.4,1.1,97.6,1.48,88.3,3,10.9694
Bioplastic (PLA),64.3,3.2,82.7,2.18,50.6,9,20.7848
Recycled Cardboard,30.4,0.7,90.6,0.87,89.1,3,9.5258
Mushroom Mycelium,17.5,2.3,100,0.24,100,4,5.988
Aluminum Foil,29.8,0.6,0,8.2,95.1,10,10.7698
Edible Seaweed Film,14.5,3.8,100,0.38,5.6,2,5.7548
Virgin Plastic (PP),72.5,6.9,4.8,4.19,15,10,24.828
Recycled Cardboard,30.9,7.6,99.2,0.97,85.8,4,11.7724
Bagasse (Sugarcane),37,8.5,97.4,1.22,59,7,13.976
Bamboo Fiber,54.7,1.8,98.8,0.74,33.7,8,17.2306
Bamboo Fiber,57.6,8.5,99,1.01,36.5,8,20.159
Bamboo Fiber,46.5,6.1,98.1,0.6,43.2,7,16.0136
Bamboo Fiber,51.4,2.8,96.2,0.63,34.5,7,16.517
Bamboo Fiber,52.1,2,95,1.19,41.2,8,16.5856
Mushroom Mycelium,23.1,5.1,100,0.13,100,4,8.486
Bioplastic (PLA),63.6,0.8,85.1,2.24,59.7,8,19.8486
Edible Seaweed Film,10.8,7.8,100,0.54,3.1,4,5.8818
Recycled Cardboard,17.7,8.7,95.7,0.86,91.4,3,8.1092
Bioplastic (PLA),61.7,6.6,87.2,2.44,41.6,9,21.0948
Bioplastic (PLA),67.9,3.2,81.5,1.7,56.3,8,21.7574
Recycled Cardboard,21.1,3.5,95.5,1.14,89.7,4,7.6286
Aluminum Foil,43.8,2.4,0,8.8,95.2,10,15.6296
Virgin Plastic (PP),77.5,2.6,0.2,4.97,22.8,10,25.1784
Edible Seaweed Film,8.9,2.8,100,0.28,9.8,4,3.7464
Mushroom Mycelium,19.3,2.6,100,0.27,100,6,6.624
Bagasse (Sugarcane),24.9,7.4,97.5,1.18,59.5,7,10.007
Bioplastic (PLA),50.6,5.5,81.2,1.68,48.8,9,17.2684
Recycled Cardboard,34.9,5.2,99.2,0.9,83.4,4,12.2432
Bamboo Fiber,42.4,5,96.4,0.67,39.8,8,14.4744
Virgin Plastic (PP),82.1,3.9,1.4,5.94,20.5,10,27.147
Aluminum Foil,37.2,1.9,0,8.84,98.5,10,13.501
Bagasse (Sugarcane),24.1,2.6,95.3,1.27,53.4,7,8.3572
Aluminum Foil,40.6,3.6,0,8.62,95.5,10,14.993
Edible Seaweed Film,14.5,8.9,100,0.59,9.8,3,7.3184
Aluminum Foil,33.8,3.1,0,10.98,94.7,10,13.2766
Mushroom Mycelium,24.5,1.2,100,0.27,100,6,7.764
Edible Seaweed Film,10.3,3.5,100,0.45,7.8,2,4.4144
Recycled Cardboard,15.3,9.8,99.9,1.05,96.8,4,7.7464
Mushroom Mycelium,17.8,9.7,100,0.19,100,4,8.288
Virgin Plastic (PP),78.5,3.5,3.6,5.87,21.2,10,25.9316
Aluminum Foil,30.8,5.1,0,11.93,98.9,10,13.1582
Edible Seaweed Film,8.4,2.8,100,0.22,1.2,2,3.6016
Recycled Cardboard,17.7,8.2,99.8,1.15,96.3,3,8.0074
Bioplastic (PLA),61.1,9.9,89.9,2.08,52.3,8,21.8114
Recycled Cardboard,34,5.4,96.8,1.23,85.8,4,12.0944
Edible Seaweed Film,9.6,2.8,100,0.48,6.5,4,4.003
Virgin Plastic (PP),82.8,1.3,1,5.53,15.7,10,26.5046
Bagasse (Sugarcane),26.3,6.3,99,0.92,51.7,5,10.0606
Recycled Cardboard,20.3,4.1,91.6,0.99,97.1,3,7.5238
Edible Seaweed Film,14.9,2.1,100,0.48,0.4,2,5.3952
Bagasse (Sugarcane),36.7,7.5,96.1,0.92,60.6,6,13.5228
Bioplastic (PLA),74.5,7.2,84,2.31,55.6,9,25.0608
Recycled Cardboard,32.9,9.5,92.1,1.38,98.3,3,12.9994
Recycled Cardboard,19.9,1.9,92.8,0.9,81.6,5,6.7568
Recycled Cardboard,21.7,8.1,93.3,0.84,96.9,4,9.1142
Virgin Plastic (PP),67.6,0.8,1.5,3.52,15.3,10,21.3934
Recycled Cardboard,17.5,5.1,99,1.47,98.3,3,7.0774
Mushroom Mycelium,12.9,5,100,0.24,100,5,5.418
Virgin Plastic (PP),80.9,5,0.4,5.57,12.4,10,27.0592
Bagasse (Sugarcane),21.7,2.9,98.9,1.01,58.5,7,7.665
Bamboo Fiber,40.8,3.2,99.5,0.9,30.2,6,13.5196
Bamboo Fiber,47.7,5.5,98.9,0.61,31.7,6,16.2186
Edible Seaweed Film,14.4,9.2,100,0.6,1,3,7.398
Recycled Cardboard,15.3,7.5,95.6,1.21,83.3,5,7.1154
Edible Seaweed Film,8.4,6.6,100,0.2,8.3,2,4.7234
Virgin Plastic (PP),72.3,5.3,0.4,4.85,12.6,10,24.4248
Virgin Plastic (PP),72.9,4.4,0.3,4.51,15.5,10,24.261
Virgin Plastic (PP),67,8.7,4.2,5.07,10.7,10,23.9026
Bioplastic (PLA),73,1.5,92.2,2.31,57.3,8,22.8974
Virgin Plastic (PP),69.6,5.7,1.8,5.21,14.6,10,23.8028
Mushroom Mycelium,13.4,5.4,100,0.3,100,4,5.7
Virgin Plastic (PP),63.6,4.6,2.3,5.88,12.4,10,21.8112
Bagasse (Sugarcane),27.6,9.5,95.1,1.18,65.1,6,11.4358
Mushroom Mycelium,11.5,6.2,100,0.3,100,6,5.37
Bagasse (Sugarcane),29.8,8.4,97.9,1.01,52.7,6,11.7566
Virgin Plastic (PP),64.4,2.4,1.9,4.87,22.2,10,21.1696
Mushroom Mycelium,24.4,9.5,100,0.18,100,4,10.206
Bioplastic (PLA),59.5,9.1,88.2,2.43,50.7,8,21.1646
Edible Seaweed Film,12.4,9.6,100,0.4,1.8,4,6.8764
Bamboo Fiber,45.6,3.1,98.6,1.05,41.3,6,14.9374
Recycled Cardboard,18.1,7,99,1.16,87.2,5,7.7876
Bioplastic (PLA),74.2,4.5,88.9,1.54,54.2,9,24.0096
Recycled Cardboard,28.4,1.2,91.1,1.12,94,5,9.116
Bamboo Fiber,53.7,1.2,99.1,0.64,49.7,8,16.6986
Bamboo Fiber,43.1,4.2,99.6,0.52,38.2,7,14.4176
Edible Seaweed Film,12.4,4,100,0.27,7.3,2,5.1594
Edible Seaweed Film,10.6,4.8,100,0.33,4.7,2,4.8766
Edible Seaweed Film,5.2,6,100,0.6,3.8,3,3.6724
Mushroom Mycelium,18.6,5.1,100,0.34,100,5,7.178
Bioplastic (PLA),51.5,6,89.2,2.47,55.1,8,17.8338
Virgin Plastic (PP),60.1,1.9,3.1,3.86,14.9,10,19.5422
Virgin Plastic (PP),73.3,4.2,1.2,3.75,20.1,10,24.1598
Aluminum Foil,21.8,8.9,0,10.62,98.9,10,11.3362
Aluminum Foil,30.5,5,0,9.22,91.3,10,12.5114
Bioplastic (PLA),66.6,9.4,85,2.36,48,8,23.376
Bioplastic (PLA),70.9,7.1,85.6,1.64,55.2,9,23.8176
Recycled Cardboard,15.6,7.4,94.4,1.16,81.5,5,7.169
Bagasse (Sugarcane),35,4.1,98.1,1.31,62.3,7,12.0674
Aluminum Foil,30,6.5,0,11.55,94.1,10,13.2718
Aluminum Foil,42.8,7.8,0,9.66,99.3,10,17.1134
Edible Seaweed Film,8.8,1,100,0.25,1.2,3,3.1876
Recycled Cardboard,19.3,1.9,97.7,0.9,85.7,5,6.5686
Edible Seaweed Film,11.3,7.3,100,0.25,7.5,3,5.815
Mushroom Mycelium,21.4,7.5,100,0.26,100,4,8.722
Bagasse (Sugarcane),24.5,2.9,96.6,1.12,62.6,6,8.5188
Bagasse (Sugarcane),28.1,3.7,95.7,0.95,54.8,5,9.8204
Mushroom Mycelium,13.4,8,100,0.22,100,6,6.464
Bagasse (Sugarcane),35.9,6.1,95.3,1.39,62.6,5,12.9528
Mushroom Mycelium,21.7,9.9,100,0.39,100,5,9.558
Virgin Plastic (PP),88.1,5.4,2.3,4.32,21.7,10,29.0706
Bamboo Fiber,58.3,9.6,99.2,1.11,36.5,6,20.719
Bamboo Fiber,48.6,8.6,95.2,0.64,41.4,7,17.4052
Bamboo Fiber,41.6,7.7,98.8,1.12,34.9,7,15.1442
Bamboo Fiber,48.9,8,99.8,0.8,41.1,8,17.3478
Bagasse (Sugarcane),38.3,7.8,96.7,1.37,51.5,5,14.201
Bamboo Fiber,51,4.5,98.4,0.99,49.8,6,16.9484
Virgin Plastic (PP),86.6,4.7,0,4.44,26.4,10,28.4252
Edible Seaweed Film,5.9,1.8,100,0.38,4.2,4,2.5776
Bioplastic (PLA),53.5,2.8,91.3,1.87,44,8,17.376
Aluminum Foil,33.5,5.9,0,10.73,95,10,13.976
Bagasse (Sugarcane),30.3,6.3,95.9,1.23,51.6,5,11.3228
Bamboo Fiber,48.3,0.6,95.3,1.08,48,7,14.99
Bagasse (Sugarcane),21.7,8.7,95.2,1.2,65.5,6,9.429
Mushroom Mycelium,18.5,2.9,100,0.18,100,4,6.456
Edible Seaweed Film,8.7,9.4,100,0.2,0.5,4,5.669
Edible Seaweed Film,9.8,5.1,100,0.52,4.7,3,4.7646
Bamboo Fiber,47.5,5.2,99.1,1.11,32.8,7,16.1664
Aluminum Foil,33.5,2.8,0,9.51,94.6,10,12.8028
Bamboo Fiber,41.1,6.7,98.9,0.69,44.9,6,14.5882
Bagasse (Sugarcane),25.6,6.8,96.8,1.24,50.2,7,10.0676
Edible Seaweed Film,11,5.1,100,0.47,7.9,3,5.1082
Recycled Cardboard,21.5,7.8,95.4,1.26,94.3,5,9.0534
Mushroom Mycelium,21.3,5,100,0.2,100,6,7.93
Aluminum Foil,24.2,3.2,0,8.34,97.2,10,9.8936
Recycled Cardboard,18,4.3,99.7,1.18,99.9,3,6.9262
Bagasse (Sugarcane),39.1,2.4,97.6,1.32,51,7,12.812
Bioplastic (PLA),53.1,6.1,94.2,2.35,51.5,8,18.327
Bagasse (Sugarcane),28.7,4.1,95.6,1.04,51.3,6,10.1454
Bamboo Fiber,40.4,7.4,97.6,0.82,37.6,6,14.6288
Edible Seaweed Film,12.3,4.8,100,0.29,8.7,4,5.3706
Bioplastic (PLA),72.9,5.5,83.9,2.09,50.5,9,24.037
Mushroom Mycelium,13.2,7.9,100,0.39,100,4,6.408
Virgin Plastic (PP),88.5,9.4,2.3,5.58,15.9,10,30.6542
Bagasse (Sugarcane),30.4,4.9,95.8,1.39,60.2,5,10.9476
Bagasse (Sugarcane),33.5,5.8,96.8,1.16,56.6,6,12.1088
Virgin Plastic (PP),80,5.9,1.2,3.78,22.3,10,26.6814
Edible Seaweed Film,7.3,0.8,100,0.37,1,2,2.702
Bagasse (Sugarcane),20.1,3.5,95.1,1.06,54.1,5,7.3838
Virgin Plastic (PP),64.3,0.7,2,5.55,23.7,10,20.7626
Aluminum Foil,36,4.5,0,8.76,95.1,10,13.9118
Bioplastic (PLA),52.7,3.8,91.1,2.03,53.6,9,17.4488
Bagasse (Sugarcane),23,4.3,96,1.37,65.1,5,8.5338
Bagasse (Sugarcane),38.8,4.2,98,1.14,64.6,7,13.1988
Edible Seaweed Film,8.5,8.1,100,0.35,3.1,4,5.2438
Virgin Plastic (PP),84.2,4.7,4.6,4.29,17.6,10,27.6928
Bamboo Fiber,46.6,5.4,97,0.89,35.2,8,15.9076
Edible Seaweed Film,12.3,4.9,100,0.33,2.8,3,5.4204
Bioplastic (PLA),51.5,3.3,92,2.44,50.7,9,17.0266
Bagasse (Sugarcane),30.9,5.1,98,0.96,56.2,6,11.0796
Aluminum Foil,28.2,3.2,0,8.15,91.2,10,11.0676
Edible Seaweed Film,14.3,4.7,100,0.39,8.2,2,5.9616
Bagasse (Sugarcane),26.7,5.7,97.9,1.14,61.1,5,10.0258
Bioplastic (PLA),53.2,9.5,92,2.13,54.8,8,19.3264
Edible Seaweed Film,6.4,3.1,100,0.39,8.5,2,3.111
Bagasse (Sugarcane),33.5,4.5,98.1,1,55.7,6,11.6886
Recycled Cardboard,20.8,0.6,90.4,0.99,89.6,5,6.6388
Aluminum Foil,35,4.2,0,9.68,92.1,10,13.7118
Mushroom Mycelium,17,4.4,100,0.2,100,5,6.46
Edible Seaweed Film,13.4,3,100,0.36,5.6,4,5.1808
Bioplastic (PLA),60.2,5.3,87.4,2.08,56.2,9,20.1536
Bamboo Fiber,44.5,8.9,98.4,0.73,34.8,7,16.2964
Bioplastic (PLA),74.5,7.3,91,1.82,52.6,9,24.9988
Aluminum Foil,30.4,9.2,0,8.65,99,10,13.612
Bagasse (Sugarcane),26.7,4,96.8,1.32,61.3,5,9.5514
Virgin Plastic (PP),80.8,9.8,4.5,3.91,12.3,10,28.1374
Mushroom Mycelium,19.4,4.6,100,0.25,100,4,7.25
Virgin Plastic (PP),71.2,6.3,2.5,3.75,19.3,10,24.1614
Recycled Cardboard,28.3,1.4,97.1,1.05,83.8,3,9.1524
Bamboo Fiber,51.8,8.1,95.2,0.73,49.7,7,18.2166
Bagasse (Sugarcane),29.6,4.9,99.1,1.1,62.3,6,10.6454
Aluminum Foil,24.6,6.4,0,9.38,90.4,10,11.1952
Virgin Plastic (PP),86.1,0.9,4,4.59,24.4,10,27.1692
Bamboo Fiber,43.7,7.2,95.1,1.13,47.5,7,15.601
Bagasse (Sugarcane),33.3,7.9,98.6,1.2,53.4,5,12.6932
Edible Seaweed Film,6.3,6.3,100,0.44,9.1,4,4.0498
Bagasse (Sugarcane),36.9,9.7,97.6,1.09,63.8,5,14.2704
Aluminum Foil,44.6,6.5,0,9.05,96.5,10,17.147
Aluminum Foil,37.5,4.1,0,11.64,94.8,10,14.8184
Bagasse (Sugarcane),22.5,2.7,97,1.37,69.2,7,7.8956
Mushroom Mycelium,21.1,6.5,100,0.3,100,6,8.34
Bamboo Fiber,55.3,0.9,97.2,0.54,30.3,6,17.1074
Bagasse (Sugarcane),29.7,8.8,99.6,1.21,68.6,5,11.8548
Recycled Cardboard,33.1,3.5,91.9,1.44,87,5,11.294
Aluminum Foil,29.3,3,0,8.28,91.4,10,11.3632
Aluminum Foil,20.4,4.5,0,10.36,95.6,10,9.5508
Aluminum Foil,24,5.8,0,9.75,90.5,10,10.909
Virgin Plastic (PP),86.1,6.5,2.5,5.22,25.5,10,28.973
Recycled Cardboard,24.6,8.5,94.1,1.22,89.2,4,10.1956
Aluminum Foil,38.2,4.7,0,8.91,91.5,10,14.669
Virgin Plastic (PP),69,6.3,3.8,4.59,19.6,10,23.6688
Mushroom Mycelium,14.1,0.9,100,0.12,100,4,4.524
Virgin Plastic (PP),74.2,2.9,2.8,5.85,21.2,10,24.4576
Mushroom Mycelium,22.8,4.4,100,0.2,100,5,8.2
Recycled Cardboard,23.9,0.8,97.6,1.3,92.7,4,7.6846
Mushroom Mycelium,10.3,2,100,0.26,100,6,3.742
Mushroom Mycelium,24.3,7.9,100,0.29,100,6,9.718
Aluminum Foil,35,7.5,0,8.15,94.7,10,14.3906
Edible Seaweed Film,12.2,9.2,100,0.29,1.1,2,6.6758
Bioplastic (PLA),73.2,4.2,86.7,1.5,56.3,8,23.6074
Mushroom Mycelium,20.9,5.9,100,0.26,100,6,8.092
Virgin Plastic (PP),68.2,5.2,2.6,5.17,16.1,10,23.2218
Recycled Cardboard,30.1,5,92.6,0.83,90.1,3,10.7158
Bioplastic (PLA),72.8,5.1,94.3,1.69,51.9,8,23.8042
Edible Seaweed Film,11.6,2.2,100,0.36,9.7,4,4.3926
Bagasse (Sugarcane),38.6,5.2,95.6,1.1,56.6,6,13.4468
Edible Seaweed Film,12.1,1.8,100,0.58,4.7,3,4.4766
Bagasse (Sugarcane),34.1,9.4,96.1,1.16,53.9,5,13.3742
Recycled Cardboard,18.6,3.1,97.7,1.32,95,5,6.784
Recycled Cardboard,34.5,7.1,90.9,1.04,89.9,5,12.7082
Recycled Cardboard,24.6,3.1,97.3,0.83,87.2,5,8.5016
Virgin Plastic (PP),64.8,1.3,3.7,5.62,18.5,10,21.117
Bioplastic (PLA),51.1,2.8,94.9,2.37,56.5,9,16.731
Aluminum Foil,35.1,6.7,0,11.77,95.6,10,14.9028
Mushroom Mycelium,23.9,4.1,100,0.35,100,6,8.47
Recycled Cardboard,20.1,2.1,96.9,1.24,87.3,3,6.9334
Bagasse (Sugarcane),30.3,5.9,99.6,1.14,65.4,5,11.1572
Mushroom Mycelium,16.1,1,100,0.39,100,5,5.208
Aluminum Foil,21.4,7.5,0,9.22,99.2,10,10.5156
Virgin Plastic (PP),83.6,4,2.4,4.45,27.7,10,27.3146
Aluminum Foil,25.7,4.5,0,8.04,90.7,10,10.6866
Mushroom Mycelium,20.6,5.8,100,0.22,100,4,7.964
Mushroom Mycelium,15.7,3.2,100,0.27,100,6,5.724
Aluminum Foil,21.2,3.1,0,10.07,97,10,9.31
Mushroom Mycelium,17.3,3,100,0.23,100,6,6.136
Virgin Plastic (PP),60.1,8.5,4.9,4.25,23.6,10,21.5828
Aluminum Foil,36.3,2.1,0,9.77,92.1,10,13.4898
Bamboo Fiber,59.4,1.3,95.6,0.51,39.5,8,18.433
Aluminum Foil,33.5,8.6,0,10.36,95.5,10,14.711
Edible Seaweed Film,6.3,0.8,100,0.4,1.4,3,2.4072
Bamboo Fiber,54.9,6.4,96.6,0.85,31.9,8,18.6962
Virgin Plastic (PP),85.6,3.8,2.4,4.45,26.6,10,27.8568
Bioplastic (PLA),58.8,6.9,84.7,2.5,42,9,20.326
Aluminum Foil,32.2,5.7,0,9.81,98.5,10,13.335
Bioplastic (PLA),51.8,3.8,87,1.72,55.3,8,17.1134
Bagasse (Sugarcane),23.6,0.7,95.1,1.12,52.3,5,7.6094
Bamboo Fiber,51.7,6.9,97.4,1.06,33.2,8,17.9256
Aluminum Foil,33.1,3.3,0,11.36,92.8,10,13.2064
Mushroom Mycelium,15.8,9.1,100,0.17,100,5,7.504
Mushroom Mycelium,16.5,4.9,100,0.17,100,5,6.454
Bagasse (Sugarcane),36.8,2.1,96.6,1.1,65.2,7,11.9596
Bagasse (Sugarcane),26.1,10,97.3,1.17,54.3,5,11.1554
Bioplastic (PLA),59.2,7.9,88.5,1.99,46.9,8,20.6342
Aluminum Foil,42.4,6.5,0,10.94,95.8,10,16.8664
Bagasse (Sugarcane),37,9,95.5,0.9,64.4,6,14.0512
Bagasse (Sugarcane),28.7,8.7,95.8,1.02,50.7,5,11.5226
Recycled Cardboard,30.2,4.1,95.7,1.15,98,3,10.524
Bamboo Fiber,44.7,5.3,97.2,0.97,34.6,7,15.3248
Bioplastic (PLA),66.9,1.2,88.4,1.82,44.9,8,20.9042
Bamboo Fiber,47.1,0.7,95.5,0.62,49.9,7,14.5642
Bagasse (Sugarcane),34.4,8.1,96.5,1.16,51.5,6,13.079
Edible Seaweed Film,7.7,2.8,100,0.3,8.4,4,3.3932
Mushroom Mycelium,23.8,10,100,0.21,100,5,10.182
Bioplastic (PLA),61.8,7.9,93.1,2.19,57.7,9,21.4326
Aluminum Foil,28,7.4,0,10.34,98.5,10,12.691
Recycled Cardboard,15.1,4.8,90.6,1.12,81,5,6.232
Bioplastic (PLA),56.3,4,87.9,2.38,49.9,8,18.6662
Recycled Cardboard,15.8,4.9,91.5,1.19,96.6,5,6.4548
Edible Seaweed Film,14.9,9.7,100,0.48,2.1,4,7.6718
Bioplastic (PLA),71.5,3.5,84.8,1.56,47.3,8,22.9174
Bamboo Fiber,46.8,2.6,96.9,0.56,49.7,7,15.0326
Mushroom Mycelium,14.6,4.2,100,0.17,100,6,5.674
Mushroom Mycelium,20.1,1.2,100,0.25,100,5,6.44
Bagasse (Sugarcane),38.7,6.6,99.8,1.1,60.4,5,13.8892
Aluminum Foil,42.8,1.6,0,8.96,95.3,10,15.1214
Edible Seaweed Film,14.5,6.5,100,0.46,2.7,4,6.5866
Mushroom Mycelium,19.6,9.3,100,0.26,100,5,8.722
Bagasse (Sugarcane),22.9,8.3,95.6,1.36,64.4,7,9.7032
Recycled Cardboard,26.3,1.3,96.3,1.25,88.4,4,8.5532
Edible Seaweed Film,6.6,8.1,100,0.51,9.4,4,4.6932
Mushroom Mycelium,23.3,9.2,100,0.39,100,5,9.828
Recycled Cardboard,16.6,3.9,96.9,0.89,89.3,3,6.3494
Bioplastic (PLA),50,6.6,88.6,2.43,45.9,9,17.5742
Edible Seaweed Film,5.7,2.3,100,0.47,9.2,3,2.6756
Bioplastic (PLA),74.4,3.2,80.1,1.59,48.4,8,23.7012
Recycled Cardboard,27.2,5,93.2,1.39,98.8,4,9.9404
Edible Seaweed Film,5.2,3.6,100,0.23,2.4,4,2.8812
Edible Seaweed Film,13.2,7.9,100,0.29,0.2,4,6.5876
Virgin Plastic (PP),79.6,3.6,2.5,3.53,25.3,10,25.8154
Mushroom Mycelium,20.3,6.6,100,0.35,100,4,8.14
Mushroom Mycelium,15.1,3.1,100,0.38,100,6,5.536
Aluminum Foil,32.4,7.1,0,10.04,90.4,10,13.8772
Mushroom Mycelium,15.7,0.5,100,0.13,100,6,4.886
Recycled Cardboard,28,5.7,95.7,1.25,94.1,4,10.3718
Virgin Plastic (PP),80.1,6.3,1.9,3.88,11.6,10,26.8728
Edible Seaweed Film,11.3,4.7,100,0.37,3.2,4,5.0676
Bioplastic (PLA),65.9,4.8,87.9,1.76,59.9,9,21.6422
Bioplastic (PLA),71,5.2,88,1.87,40.3,8,23.3534
Mushroom Mycelium,24,10,100,0.19,100,6,10.238
Recycled Cardboard,28.6,0.9,98.7,1.11,86.6,4,9.0988
Bioplastic (PLA),61.2,3.5,94.2,1.66,52.1,8,19.8378
Recycled Cardboard,20.1,1.7,95.8,1.05,82.1,3,6.7858
Recycled Cardboard,25.1,8,92,1.38,97.5,5,10.211
Edible Seaweed Film,5,5.1,100,0.41,5.7,3,3.3006
Edible Seaweed Film,10.9,4.8,100,0.45,0.1,2,4.9998
Bagasse (Sugarcane),24.6,6.2,99,1.28,51.4,5,9.5932
Bagasse (Sugarcane),26.7,6.9,97,1.13,50.2,5,10.4056
